species,long,lat
physeter_macrocephalus,461230.0379,1682389.272
physeter_macrocephalus,462080.9376,1682808.641
physeter_macrocephalus,462309.5592,1683692.092
physeter_macrocephalus,462309.5592,1683692.092
physeter_macrocephalus,462309.5592,1683692.092
physeter_macrocephalus,462619.1896,1681677.467
physeter_macrocephalus,462693.2333,1681560.19
physeter_macrocephalus,464079.7974,1683267.385
physeter_macrocephalus,462230.2393,1686825.746
physeter_macrocephalus,462113.5407,1688663.516
physeter_macrocephalus,460490.2103,1691645.92
physeter_macrocephalus,456216.5498,1691050.628
physeter_macrocephalus,456027.051,1687999.967
physeter_macrocephalus,457173.2697,1686340.356
physeter_macrocephalus,458066.4901,1684111.156
physeter_macrocephalus,461421.8954,1680220.036
physeter_macrocephalus,461972.3559,1681413.468
physeter_macrocephalus,462285.8584,1685005.62
physeter_macrocephalus,461063.0609,1687137.667
physeter_macrocephalus,460568.9886,1687097.797
physeter_macrocephalus,457537.8443,1691174.94
physeter_macrocephalus,454958.6735,1693294.444
physeter_macrocephalus,454128.7738,1695061.118
physeter_macrocephalus,453911.6056,1695836.044
physeter_macrocephalus,459896.8201,1693068.319
physeter_macrocephalus,459855.6866,1693603.965
physeter_macrocephalus,458904.9945,1696301.67
physeter_macrocephalus,458282.4834,1697490.258
physeter_macrocephalus,458282.4834,1697490.258
physeter_macrocephalus,457941.6948,1696338.951
physeter_macrocephalus,460408.845,1692364.21
physeter_macrocephalus,459424.6432,1694180.736
physeter_macrocephalus,458051.0734,1697480.765
physeter_macrocephalus,457710.3055,1697683.408
physeter_macrocephalus,449480.3147,1693098.592
physeter_macrocephalus,457308.2967,1694542.59
physeter_macrocephalus,457975.7076,1691780.625
physeter_macrocephalus,456138.3711,1698268.644
physeter_macrocephalus,456518.1892,1698090.997
physeter_macrocephalus,456485.1989,1698159.156
physeter_macrocephalus,457339.5152,1695640.294
physeter_macrocephalus,457358.3176,1696173.735
physeter_macrocephalus,459466.8217,1692349.285
physeter_macrocephalus,459122.4936,1692115.819
physeter_macrocephalus,457864.7365,1689196.486
physeter_macrocephalus,456649.034,1689647.93
physeter_macrocephalus,456521.6216,1692506.183
physeter_macrocephalus,456199.1505,1693445.184
physeter_macrocephalus,455634.098,1695184.569
physeter_macrocephalus,454537.1575,1696681.819
physeter_macrocephalus,454151.3788,1695727.448
physeter_macrocephalus,454151.3788,1695727.448
physeter_macrocephalus,454916.2946,1693673.464
physeter_macrocephalus,456202.5539,1691125.359
physeter_macrocephalus,456202.5539,1691125.359
physeter_macrocephalus,459817.4844,1688824.746
physeter_macrocephalus,460379.2262,1687864.446
physeter_macrocephalus,460960.9463,1687201.47
physeter_macrocephalus,461229.1674,1686623.111
physeter_macrocephalus,462458.7342,1683275.401
physeter_macrocephalus,462858.7233,1682146.826
physeter_macrocephalus,454401.5806,1692199.052
physeter_macrocephalus,453956.8904,1692261.484
physeter_macrocephalus,453961.83,1692852.417
physeter_macrocephalus,455301.1052,1692647.961
physeter_macrocephalus,453028.8768,1696631.979
physeter_macrocephalus,453967.0289,1697232.233
physeter_macrocephalus,456381.3219,1696629.339
physeter_macrocephalus,457658.363,1695230.525
physeter_macrocephalus,458615.2533,1693215.109
physeter_macrocephalus,457787.0186,1691472.826
physeter_macrocephalus,452098.6804,1684917.407
physeter_macrocephalus,451958.1051,1685693.718
physeter_macrocephalus,455251.0736,1686882.684
physeter_macrocephalus,459421.8436,1681670.784
physeter_macrocephalus,461821.1312,1678935.995
physeter_macrocephalus,458182.6146,1681235.695
physeter_macrocephalus,454594.0484,1687307.106
physeter_macrocephalus,453127.5969,1687338.081
physeter_macrocephalus,453127.5969,1687338.081
physeter_macrocephalus,457838.2343,1696275.204
physeter_macrocephalus,451554.5393,1695316.804
physeter_macrocephalus,451554.5393,1695316.804
physeter_macrocephalus,455761.7162,1687928.721
physeter_macrocephalus,455955.8977,1687423.105
physeter_macrocephalus,454192.7177,1690426.352
physeter_macrocephalus,458618.0637,1688509.574
physeter_macrocephalus,462698.5264,1686820.491
physeter_macrocephalus,462466.3491,1684507.721
physeter_macrocephalus,461107.9475,1683026.747
physeter_macrocephalus,458915.8768,1688037.462
physeter_macrocephalus,457586.7913,1687960.525
physeter_macrocephalus,461065.32,1683247.946
physeter_macrocephalus,456650.084,1690388.975
physeter_macrocephalus,459422.9494,1687720.164
physeter_macrocephalus,460477.2723,1684961.649
physeter_macrocephalus,460168.9397,1684803.603
physeter_macrocephalus,459240.4696,1682084.442
physeter_macrocephalus,462092.4673,1686440.905
physeter_macrocephalus,463603.9187,1683078.58
physeter_macrocephalus,462682.6,1683142.513
physeter_macrocephalus,462341.13,1683308.3
physeter_macrocephalus,461999.5879,1685637.911
physeter_macrocephalus,447547.6874,1694311.946
physeter_macrocephalus,448601.6055,1691485.894
physeter_macrocephalus,449013.74,1690225.995
physeter_macrocephalus,450474.3231,1687540.329
physeter_macrocephalus,465997.8714,1689173.316
physeter_macrocephalus,465997.8714,1689173.316
physeter_macrocephalus,465997.8714,1689173.316
physeter_macrocephalus,465997.8714,1689173.316
physeter_macrocephalus,465997.8714,1689173.316
physeter_macrocephalus,465997.8714,1689173.316
physeter_macrocephalus,465997.8714,1689173.316
physeter_macrocephalus,465997.8714,1689173.316
physeter_macrocephalus,461131.1937,1688157.757
physeter_macrocephalus,456838.3983,1684566.124
physeter_macrocephalus,456447.3062,1686200.312
physeter_macrocephalus,457820.4867,1688479.073
physeter_macrocephalus,459515.0729,1689286.734
physeter_macrocephalus,459744.4234,1690785.44
physeter_macrocephalus,459304.4392,1691010.35
physeter_macrocephalus,454135.3209,1693754.663
physeter_macrocephalus,454686.7117,1693123.505
physeter_macrocephalus,457941.0834,1693628.701
physeter_macrocephalus,458013.2409,1692876.574
physeter_macrocephalus,458664.9985,1692679.465
physeter_macrocephalus,459442.8232,1693165.627
physeter_macrocephalus,460427.2006,1692391.54
physeter_macrocephalus,446574.8364,1694211.449
physeter_macrocephalus,448176.404,1690775.996
physeter_macrocephalus,448711.2879,1688111.427
physeter_macrocephalus,451106.1817,1686229.338
physeter_macrocephalus,452709.0621,1685751.208
physeter_macrocephalus,453190.4721,1685555.93
physeter_macrocephalus,454619.9994,1682687.099
physeter_macrocephalus,457194.3031,1680889.11
physeter_macrocephalus,458454.5326,1687139.201
physeter_macrocephalus,457005.1386,1690264.065
physeter_macrocephalus,457595.9313,1691896.555
physeter_macrocephalus,457761.9168,1692069.03
physeter_macrocephalus,457938.3448,1691981.069
physeter_macrocephalus,458561.0984,1693677.745
physeter_macrocephalus,458495.5628,1694988.793
physeter_macrocephalus,456032.6364,1696079.659
physeter_macrocephalus,456432.8134,1698158.419
physeter_macrocephalus,454539.3728,1697438.888
physeter_macrocephalus,454885.2097,1696545.6
physeter_macrocephalus,457366.33,1693207.19
physeter_macrocephalus,457366.33,1693207.19
physeter_macrocephalus,455994.3574,1692191.611
physeter_macrocephalus,455474.3323,1690071.055
physeter_macrocephalus,454695.0172,1690852.344
physeter_macrocephalus,456148.7453,1690990.534
physeter_macrocephalus,459579.532,1692631.409
physeter_macrocephalus,459407.0526,1695409.437
physeter_macrocephalus,457722.9525,1698828.536
physeter_macrocephalus,457608.2434,1699802.462
physeter_macrocephalus,457608.2434,1699802.462
physeter_macrocephalus,457168.2839,1699636.412
physeter_macrocephalus,453238.5015,1684962.158
physeter_macrocephalus,458722.1273,1681355.128
physeter_macrocephalus,459170.9047,1686512.71
physeter_macrocephalus,460820.5227,1688684.98
physeter_macrocephalus,461259.6515,1686855.179
physeter_macrocephalus,458848.7769,1686128.027
physeter_macrocephalus,461430.1797,1685544.42
physeter_macrocephalus,462653.34,1684584.175
physeter_macrocephalus,463777.9482,1685760.243
physeter_macrocephalus,463777.9482,1685760.243
physeter_macrocephalus,462830.9966,1686186.608
physeter_macrocephalus,462687.454,1687502.19
physeter_macrocephalus,455218.4053,1703971.11
physeter_macrocephalus,455610.3822,1701368.005
physeter_macrocephalus,455694.9202,1701162.327
physeter_macrocephalus,456907.0431,1697519.416
physeter_macrocephalus,456515.4915,1696152.648
physeter_macrocephalus,457890.4229,1694080.083
physeter_macrocephalus,456834.4773,1692668.915
physeter_macrocephalus,456598.4253,1692882.527
physeter_macrocephalus,456845.6993,1690929.375
physeter_macrocephalus,455491.3028,1691390.025
physeter_macrocephalus,459414.2154,1691095.483
physeter_macrocephalus,460789.3201,1691771.893
physeter_macrocephalus,461879.3509,1688583.97
physeter_macrocephalus,462511.4667,1687197.925
physeter_macrocephalus,462511.4667,1687197.925
physeter_macrocephalus,462771.2096,1686986.813
physeter_macrocephalus,463118.7442,1686908.258
physeter_macrocephalus,463118.7442,1686908.258
physeter_macrocephalus,463670.7675,1683065.124
physeter_macrocephalus,462662.3222,1681705.455
physeter_macrocephalus,466067.3242,1689057.825
physeter_macrocephalus,466067.3242,1689057.825
physeter_macrocephalus,462876.8378,1687748.334
physeter_macrocephalus,461406.5074,1687722.407
physeter_macrocephalus,460517.3085,1685069.737
physeter_macrocephalus,458695.5251,1686140.686
physeter_macrocephalus,457506.0646,1686619.438
physeter_macrocephalus,463401.6423,1684990.856
physeter_macrocephalus,464292.064,1683993.004
physeter_macrocephalus,464842.591,1685490.875
physeter_macrocephalus,460492.314,1686905.96
physeter_macrocephalus,460492.314,1686905.96
physeter_macrocephalus,458379.3685,1696519.848
physeter_macrocephalus,444229.0159,1704307.746
physeter_macrocephalus,448013.2459,1701793.889
physeter_macrocephalus,452917.8912,1698063.964
physeter_macrocephalus,452727.0673,1698179.228
physeter_macrocephalus,456660.8072,1695829.057
physeter_macrocephalus,457823.0764,1692015.783
physeter_macrocephalus,457079.1363,1692693.856
physeter_macrocephalus,456406.7903,1691435.561
physeter_macrocephalus,454753.7713,1694457.417
physeter_macrocephalus,454460.1384,1695180.561
physeter_macrocephalus,454323.9062,1695321.437
physeter_macrocephalus,454206.2512,1695406.597
physeter_macrocephalus,453054.17,1697392.657
physeter_macrocephalus,453250.7201,1697540.27
physeter_macrocephalus,454194.4559,1697707.416
physeter_macrocephalus,457658.0976,1696243.909
physeter_macrocephalus,457658.0976,1696243.909
physeter_macrocephalus,460195.5652,1693327.19
physeter_macrocephalus,461063.2535,1688372.345
physeter_macrocephalus,458532.3363,1690285.128
physeter_macrocephalus,454527.6115,1695615.623
physeter_macrocephalus,453612.3959,1696499.257
physeter_macrocephalus,459171.6228,1688472.413
physeter_macrocephalus,459171.6228,1688472.413
physeter_macrocephalus,459622.0466,1686903.099
physeter_macrocephalus,459519.1548,1686819.163
physeter_macrocephalus,460843.318,1686385.365
physeter_macrocephalus,460303.7205,1685246.562
